2019-05-24T21:34:36.781887  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 0
2019-05-24T21:36:40.701295  -  [DB] database returned None for page_id: Sophia_Abrahão, passage_idx: 1
2019-05-24T21:36:40.834258  -  [DB] database returned None for page_id: Björn_Ulvaeus, passage_idx: 0
2019-05-24T21:36:40.934779  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 2
2019-05-24T21:36:40.935724  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:40.953922  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 0
2019-05-24T21:36:40.954850  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 5
2019-05-24T21:36:40.956588  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 4
2019-05-24T21:36:40.958368  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 7
2019-05-24T21:36:40.959779  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 6
2019-05-24T21:36:40.961291  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 10
2019-05-24T21:36:41.294254  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 1
2019-05-24T21:36:41.295713  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 0
2019-05-24T21:36:41.349928  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 0
2019-05-24T21:36:41.350838  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 1
2019-05-24T21:36:41.418852  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:41.431936  -  [DB] database returned None for page_id: İstanbul_Başakşehir_F.K., passage_idx: 0
2019-05-24T21:36:41.444404  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 1
2019-05-24T21:36:41.445852  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 0
2019-05-24T21:36:41.535167  -  [DB] database returned None for page_id: Tré_Cool, passage_idx: 0
2019-05-24T21:36:42.012487  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 11
2019-05-24T21:36:42.013481  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 10
2019-05-24T21:36:42.160005  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:42.382311  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 1
2019-05-24T21:36:42.584719  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:42.638752  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:42.686103  -  [DB] database returned None for page_id: Musée_National_d'Art_Moderne, passage_idx: 1
2019-05-24T21:36:42.841727  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:43.434780  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 17
2019-05-24T21:36:43.444882  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 4
2019-05-24T21:36:43.517652  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 10
2019-05-24T21:36:43.559024  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:43.818551  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:43.850869  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:43.855533  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:44.336531  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:44.841808  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:45.200046  -  [DB] database returned None for page_id: Weekly_Shōnen_Jump, passage_idx: 0
2019-05-24T21:36:45.758216  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 0
2019-05-24T21:36:45.845871  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:45.874054  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:45.935693  -  [DB] database returned None for page_id: Château_de_Lusignan, passage_idx: 0
2019-05-24T21:36:46.039344  -  [DB] database returned None for page_id: Chris_Pérez, passage_idx: 2
2019-05-24T21:36:46.421097  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 13
2019-05-24T21:36:46.424103  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 1
2019-05-24T21:36:46.426658  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 10
2019-05-24T21:36:46.427662  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 25
2019-05-24T21:36:46.428574  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 14
2019-05-24T21:36:46.429629  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 20
2019-05-24T21:36:46.437450  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 11
2019-05-24T21:36:46.438798  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 6
2019-05-24T21:36:46.441524  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 21
2019-05-24T21:36:46.442935  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 8
2019-05-24T21:36:46.444206  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 7
2019-05-24T21:36:46.445390  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 12
2019-05-24T21:36:46.446474  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 0
2019-05-24T21:36:46.679694  -  [DB] database returned None for page_id: Night_Attack_at_Târgovişte, passage_idx: 0
2019-05-24T21:36:47.134495  -  [DB] database returned None for page_id: Björn_Ulvaeus, passage_idx: 0
2019-05-24T21:36:47.276998  -  [DB] database returned None for page_id: Charlotte_Brontë, passage_idx: 0
2019-05-24T21:36:47.525419  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:47.792144  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 0
2019-05-24T21:36:47.952794  -  [DB] database returned None for page_id: Tré_Cool, passage_idx: 0
2019-05-24T21:36:48.112591  -  [DB] database returned None for page_id: Julio_Cortázar, passage_idx: 0
2019-05-24T21:36:48.113849  -  [DB] database returned None for page_id: Night_Attack_at_Târgovişte, passage_idx: 0
2019-05-24T21:36:48.147072  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:48.357524  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:48.610801  -  [DB] database returned None for page_id: Dohány_Street_Synagogue, passage_idx: 2
2019-05-24T21:36:48.729132  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:48.802512  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 0
2019-05-24T21:36:48.917100  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 13
2019-05-24T21:36:48.919423  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 19
2019-05-24T21:36:48.921855  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 24
2019-05-24T21:36:48.923301  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 1
2019-05-24T21:36:48.925837  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 10
2019-05-24T21:36:48.927085  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 25
2019-05-24T21:36:48.928157  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 14
2019-05-24T21:36:48.929218  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 20
2019-05-24T21:36:48.932531  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 2
2019-05-24T21:36:48.933549  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 11
2019-05-24T21:36:48.934509  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 6
2019-05-24T21:36:48.937110  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 21
2019-05-24T21:36:48.940628  -  [DB] database returned None for page_id: Malmö_FF, passage_idx: 0
2019-05-24T21:36:48.943763  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 3
2019-05-24T21:36:48.945084  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 8
2019-05-24T21:36:48.947352  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 7
